id;hex_id;name;environment;cluster_name;domain;fqdn;pci_tier;vlan
pAYsqejtYHK9;DA22DA3462DE2544;gw-iXXXXXXXXr.local;prod;gw_iXXXXXXXX;prodXXXXXXXX;gw-iXXXXXXXXr.local;1;1XX8
zIk6iEiHaHf4;1AE4C3AC64461294;sw-2XXXXXXXX;prod;NDXXXXXXXX;NDXXXXXXXX;sw-2XXXXXXXX;3;1XX0
cMA9uI2kaLD4;24A524B864B810D5;ut0bXXXXXXXXer.tech;test;NDXXXXXXXX;moonXXXXXXXX;ut0bXXXXXXXXer.tech;3;1XX2
uApvCTEPbfIU;E732E74C6564792A;mss-XXXXXXXXr.tech;ittest;mss_XXXXXXXX;moonXXXXXXXX;mss-XXXXXXXXr.tech;3;1XX0
LCAOt2cFcPUS;60A360B7663E71E6;wp0sXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0sXXXXXXXXer.ch;2;6XX
LTEDHe3MYXI3;34E73A1162580D28;wp8bXXXXXXXXocal;prod;NDXXXXXXXX;holdXXXXXXXX;wp8bXXXXXXXXocal;3;6XX
8FwAik2uYvsS;2BA32BAC62E0736E;bfs-XXXXXXXXr.local;prod;bfs_XXXXXXXX;prodXXXXXXXX;bfs-XXXXXXXXr.local;2;1XX2
pIk6iEiHafe4;1AE4C3AC6446128A;sw-2XXXXXXXX;prod;NDXXXXXXXX;NDXXXXXXXX;sw-2XXXXXXXX;3;1XX0
3LA9uI2ka5N4;24A524B864B81171;wds-XXXXXXXXv.cloud;dev;sap_XXXXXXXX;dev.XXXXXXXX;wds-XXXXXXXXv.cloud;3;NXX
kApvCTEPb1IU;E732E74C65647920;wks-XXXXXXXX.local;test;wks_XXXXXXXX;testXXXXXXXX;wks-XXXXXXXX.local;3;6XX
PDAOt2cFcbYS;60A360B7663E7229;wp0sXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0sXXXXXXXXer.ch;2;6XX
2UEDIe3MYHL3;34E73A1262580D54;vcs-XXXXXXXXer.local;prod;vcs_XXXXXXXX;mgmtXXXXXXXX;vcs-XXXXXXXXer.local;3;6XX
WFwAik2uYPuS;2BA32BAC62E07386;wt0bXXXXXXXXr.tech;ittest;NDXXXXXXXX;moonXXXXXXXX;wt0bXXXXXXXXr.tech;3;1XX2
gIk6iEiHa5e4;1AE4C3AC64461281;sw-2XXXXXXXX;prod;NDXXXXXXXX;NDXXXXXXXX;sw-2XXXXXXXX;3;1XX0
8MA9uI2kaTB4;24A524B864B810B7;wt0bXXXXXXXXrner.ch;dev;NDXXXXXXXX;prodXXXXXXXX;wt0bXXXXXXXXrner.ch;3;1XX3
Q8ZYEfuPbXbO;8A328A4E65676258;hvc2XXXXXXXX;test;NDXXXXXXXX;hostXXXXXXXX;hvc2XXXXXXXX;3;NXX
YDAOt2cFc9ZS;60A360B7663E7232;wp0sXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0sXXXXXXXXer.ch;2;6XX
SVEDKe3MYnQ3;34E73A1462580DAC;neviXXXXXXXXb-usp001.prod.corner.local;prod;neviXXXXXXXXb_sp0;prodXXXXXXXX;neviXXXXXXXXb-usp001.prod.corner.local;2;2XX1
6CwAik2uYnwS;2BA32BAC62E073AC;wt0bXXXXXXXXr.tech;ittest;ecasXXXXXXXX;moonXXXXXXXX;wt0bXXXXXXXXr.tech;3;1XX2
UJk6iEiHaLh4;1AE4C3AC644612B5;sw-2XXXXXXXX;prod;NDXXXXXXXX;NDXXXXXXXX;sw-2XXXXXXXX;3;1XX0
RLA9uI2kabO4;24A524B864B81189;wt0bXXXXXXXXorner.group;dev;NDXXXXXXXX;greeXXXXXXXX;wt0bXXXXXXXXorner.group;3;1XX3
L8ZYEfuPbDbO;8A328A4E65676253;ropaXXXXXXXX;prep;NDXXXXXXXX;hostXXXXXXXX;ropaXXXXXXXX;2;NXX
hCAOt2cFcnVS;60A360B7663E71FC;wp0sXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0sXXXXXXXXer.ch;2;6XX
9SEDLe3MYXT3;34E73A1562580DD8;pc81XXXXXXXX;dev;dynwXXXXXXXX;testXXXXXXXX;pc81XXXXXXXX;3;2XX8
yDwAjk2uY12T;2BA32BAD62E07420;bsa-XXXXXXXXr.local;prod;bsa_XXXXXXXX;prodXXXXXXXX;bsa-XXXXXXXXr.local;2;1XX2
JJk6iEiHafg4;1AE4C3AC644612AA;sw-2XXXXXXXX;prod;NDXXXXXXXX;NDXXXXXXXX;sw-2XXXXXXXX;3;1XX0
lMA9uI2kavD4;24A524B864B810DE;wt0bXXXXXXXXch;dev;NDXXXXXXXX;labcXXXXXXXX;wt0bXXXXXXXXch;3;1XX3
f8ZYEfuPbTcO;8A328A4E65676267;ropaXXXXXXXX;prep;NDXXXXXXXX;hostXXXXXXXX;ropaXXXXXXXX;2;NXX
pDAOt2cFcDaS;60A360B7663E7243;wp0sXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0sXXXXXXXXer.ch;2;6XX
pVEDLe3MY9S3;34E73A1562580DC2;wp0bXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0bXXXXXXXXer.ch;3;6XX
eDwAjk2uYn0T;2BA32BAD62E0740C;bsa-XXXXXXXXr.local;prod;bsa_XXXXXXXX;prodXXXXXXXX;bsa-XXXXXXXXr.local;2;1XX2
